"","crop","type","season","diameter","corolla","colour","nectar","b.system","s.pollination","inflorescence","composite","visitor","guild","tongue","body","sociality","feeding"
"1","Vaccinium_corymbosum","arboreous","sprisum",NA,"CAMPANULATE","white","yes","insects","no","yes","no","Andrena_wilkella","ANDRENIDAE",NA,10.5,"no","oligolectic"
"2","Vaccinium_corymbosum","arboreous","sprisum",NA,"CAMPANULATE","white","yes","insects","no","yes","no","Andrena_barbilabris","ANDRENIDAE",NA,10.5,"no","polylectic"
"3","Brassica_napus","herbaceous","summer",12.5,"OPEN","yellow","yes","wind/insects","no","yes","no","Andrena_cineraria","ANDRENIDAE",NA,12,"no","polylectic"
"4","Brassica_napus","herbaceous","summer",12.5,"OPEN","yellow","yes","wind/insects","no","yes","no","Andrena_flavipes","ANDRENIDAE",NA,11,"no","polylectic"
"5","Brassica_napus","herbaceous","summer",12.5,"OPEN","yellow","yes","wind/insects","no","yes","no","Andrena_gravida","ANDRENIDAE",NA,13,"no","polylectic"
"6","Brassica_napus","herbaceous","summer",12.5,"OPEN","yellow","yes","wind/insects","no","yes","no","Andrena_haemorrhoa","ANDRENIDAE",NA,11,"no","polylectic"
"7","Brassica_napus","herbaceous","summer",12.5,"OPEN","yellow","yes","wind/insects","no","yes","no","Andrena_lepida","ANDRENIDAE",NA,NA,"no","polylectic"
"8","Brassica_napus","herbaceous","summer",12.5,"OPEN","yellow","yes","wind/insects","no","yes","no","Andrena_nigroaenea","ANDRENIDAE",NA,13,"no","polylectic"
"9","Brassica_napus","herbaceous","summer",12.5,"OPEN","yellow","yes","wind/insects","no","yes","no","Andrena_nitida","ANDRENIDAE",NA,13,"no","polylectic"
"10","Brassica_napus","herbaceous","summer",12.5,"OPEN","yellow","yes","wind/insects","no","yes","no","Andrena_pusilla","ANDRENIDAE",NA,NA,"no","polylectic"
"11","Brassica_napus","herbaceous","summer",12.5,"OPEN","yellow","yes","wind/insects","no","yes","no","Andrena_strohmella","ANDRENIDAE",NA,7,"no","polylectic"
"12","Brassica_napus","herbaceous","summer",12.5,"OPEN","yellow","yes","wind/insects","no","yes","no","Andrena_subopaca","ANDRENIDAE",NA,6.5,"no","polylectic"
"13","Carum_carvi","herbaceous","summer",4,"OPEN","white","yes","insects","no","yes","no","Andrena_minutula","ANDRENIDAE",NA,6,"no","polylectic"
